GAME_DATE_EST,GAME_ID,GAME_STATUS_TEXT,HOME_TEAM,VISITOR_TEAM,SEASON,TEAM_ID_home,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,TEAM_ID_away,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS
10/27/2010,21000016,Final,Los Angeles Clippers,Portland Trail Blazers,2010,Los Angeles Clippers,88,0.405,0.633,0.278,19,41,Portland Trail Blazers,98,0.409,0.783,0.4,17,51,0
10/26/2010,21000001,Final,Boston Celtics,Miami Heat,2010,Boston Celtics,88,0.464,0.64,0.5,25,42,Miami Heat,80,0.365,0.72,0.4,15,39,1
10/26/2010,21000002,Final,Portland Trail Blazers,Phoenix Suns,2010,Portland Trail Blazers,106,0.462,0.667,0.5,31,48,Phoenix Suns,92,0.486,0.688,0.474,15,30,1
10/26/2010,21000003,Final,Los Angeles Lakers,Houston Rockets,2010,Los Angeles Lakers,112,0.417,0.821,0.429,21,44,Houston Rockets,110,0.418,0.929,0.4,25,53,1
10/22/2010,11000111,Final,Charlotte Hornets,Atlanta Hawks,2010,Charlotte Hornets,99,0.493,0.757,0.455,21,43,Atlanta Hawks,66,0.324,0.708,0.263,9,36,1
10/22/2010,11000115,Final,Toronto Raptors,New York Knicks,2010,Toronto Raptors,108,0.462,0.8,0.444,30,41,New York Knicks,103,0.507,0.765,0.318,22,39,1
10/22/2010,11000118,Final,Detroit Pistons,Memphis Grizzlies,2010,Detroit Pistons,103,0.45,0.828,0.318,22,39,Memphis Grizzlies,106,0.529,0.6,0.4,28,41,0
10/22/2010,11000112,Final,Chicago Bulls,Indiana Pacers,2010,Chicago Bulls,102,0.458,0.784,0.412,23,50,Indiana Pacers,74,0.35,0.619,0.263,17,37,1
10/22/2010,11000117,Final,Dallas Mavericks,Houston Rockets,2010,Dallas Mavericks,97,0.488,0.769,0.389,28,42,Houston Rockets,96,0.449,0.714,0.44,20,41,1
10/22/2010,11000120,Final,Milwaukee Bucks,Minnesota Timberwolves,2010,Milwaukee Bucks,118,0.43,0.833,0.375,27,50,Minnesota Timberwolves,119,0.427,0.72,0.318,20,50,0
10/22/2010,11000116,Final,Utah Jazz,Sacramento Kings,2010,Utah Jazz,82,0.44,0.8,0.5,20,35,Sacramento Kings,71,0.361,0.667,0.313,14,42,1
10/22/2010,11000113,Final,Los Angeles Lakers,Golden State Warriors,2010,Los Angeles Lakers,105,0.412,0.839,0.321,23,35,Golden State Warriors,102,0.474,0.833,0.313,19,47,1
10/22/2010,11000114,Final,Phoenix Suns,Denver Nuggets,2010,Phoenix Suns,106,0.44,0.778,0.238,18,39,Denver Nuggets,144,0.641,0.821,0.5,26,38,0
10/21/2010,11000105,Final,Cleveland Cavaliers,Milwaukee Bucks,2010,Cleveland Cavaliers,83,0.413,0.947,0.2,15,38,Milwaukee Bucks,77,0.436,0.714,0.235,24,38,1
10/21/2010,11000107,Final,Oklahoma City Thunder,New Orleans Pelicans,2010,Oklahoma City Thunder,101,0.455,0.828,0.304,26,40,New Orleans Pelicans,86,0.415,0.654,0.071,19,43,1
10/21/2010,11000110,Final,Atlanta Hawks,Miami Heat,2010,Atlanta Hawks,98,0.424,0.704,0.467,23,48,Miami Heat,89,0.367,0.706,0.467,15,49,1
10/21/2010,11000109,Final,San Antonio Spurs,Houston Rockets,2010,San Antonio Spurs,111,0.465,0.885,0.364,24,45,Houston Rockets,103,0.487,0.8,0.5,25,33,1
10/21/2010,11000106,Final,Los Angeles Lakers,Golden State Warriors,2010,Los Angeles Lakers,120,0.56,0.727,0.588,30,37,Golden State Warriors,99,0.436,0.8,0.071,22,48,1
10/21/2010,11000108,Final,Portland Trail Blazers,Denver Nuggets,2010,Portland Trail Blazers,90,0.407,0.826,0.263,19,47,Denver Nuggets,83,0.356,0.893,0.3,17,35,1
10/20/2010,11000100,Final,Charlotte Hornets,New Orleans Pelicans,2010,Charlotte Hornets,105,0.468,0.848,0.357,23,40,New Orleans Pelicans,98,0.436,0.762,0.389,24,31,1
10/20/2010,11000101,Final,Orlando Magic,Dallas Mavericks,2010,Orlando Magic,101,0.468,0.679,0.357,28,43,Dallas Mavericks,76,0.36,0.72,0.222,18,38,1
10/20/2010,11000102,Final,Philadelphia 76ers,New York Knicks,2010,Philadelphia 76ers,118,0.505,0.783,0.421,29,54,New York Knicks,91,0.349,0.833,0.267,20,38,1
10/20/2010,11000103,Final,Toronto Raptors,Chicago Bulls,2010,Toronto Raptors,103,0.475,0.694,0.143,24,45,Chicago Bulls,110,0.5,0.771,0.385,26,36,0
10/20/2010,11000104,Final,Boston Celtics,Brooklyn Nets,2010,Boston Celtics,107,0.568,0.75,0.455,28,35,Brooklyn Nets,92,0.479,0.885,0.125,12,32,1
10/19/2010,11000092,Final,Cleveland Cavaliers,Philadelphia 76ers,2010,Cleveland Cavaliers,111,0.558,0.842,0.45,30,45,Philadelphia 76ers,95,0.379,0.778,0.364,23,45,1
10/19/2010,11000094,Final,Detroit Pistons,Washington Wizards,2010,Detroit Pistons,98,0.474,0.815,0.222,21,37,Washington Wizards,92,0.397,0.706,0.3,21,45,1
10/19/2010,11000099,Final,New York Knicks,Brooklyn Nets,2010,New York Knicks,117,0.474,0.744,0.524,21,34,Brooklyn Nets,111,0.442,0.735,0.4,21,52,1
10/19/2010,11000096,Final,Minnesota Timberwolves,Indiana Pacers,2010,Minnesota Timberwolves,124,0.412,0.729,0.346,21,51,Indiana Pacers,128,0.455,0.667,0.457,33,53,0
