GAME_DATE,GAME_ID,SEASON,HOME_TEAM_WINS,HOME_TEAM,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,VISITOR_TEAM,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away
2022-03-03,22100943,2021,1,Dallas Mavericks,122,0.529,0.75,0.459,29,32,Golden State Warriors,113,0.543,0.769,0.5,26,37
2022-03-03,22100944,2021,0,San Antonio Spurs,112,0.495,0.5,0.375,28,40,Sacramento Kings,115,0.459,0.844,0.313,26,49
2022-03-03,22100945,2021,1,Los Angeles Clippers,132,0.548,0.867,0.63,32,46,Los Angeles Lakers,111,0.488,0.773,0.343,26,36
2022-03-02,22100932,2021,0,Cleveland Cavaliers,98,0.468,0.667,0.323,21,37,Charlotte Hornets,119,0.506,0.727,0.447,32,45
2022-03-02,22100933,2021,0,Orlando Magic,114,0.454,0.8,0.313,22,52,Indiana Pacers,122,0.436,0.8,0.324,23,54
2022-03-02,22100934,2021,1,Philadelphia 76ers,123,0.52,0.848,0.472,24,43,New York Knicks,108,0.429,0.688,0.286,20,40
2022-03-02,22100935,2021,0,Houston Rockets,127,0.5,0.667,0.412,27,34,Utah Jazz,132,0.549,0.708,0.357,32,49
2022-03-02,22100936,2021,1,Milwaukee Bucks,120,0.451,0.889,0.389,22,52,Miami Heat,119,0.454,0.833,0.477,28,48
2022-03-02,22100937,2021,1,New Orleans Pelicans,125,0.591,0.833,0.379,30,50,Sacramento Kings,95,0.393,0.68,0.229,20,38
2022-03-02,22100938,2021,0,Denver Nuggets,107,0.444,0.882,0.261,25,47,Oklahoma City Thunder,119,0.506,0.714,0.552,24,50
2022-03-02,22100939,2021,1,Phoenix Suns,120,0.5,0.839,0.389,32,46,Portland Trail Blazers,90,0.385,0.76,0.355,22,35
2022-03-01,22100926,2021,1,Washington Wizards,116,0.5,0.808,0.5,29,42,Detroit Pistons,113,0.478,0.826,0.296,23,43
2022-03-01,22100927,2021,1,Boston Celtics,107,0.47,0.947,0.314,27,47,Atlanta Hawks,98,0.434,0.792,0.226,15,37
2022-03-01,22100928,2021,1,Toronto Raptors,109,0.456,0.87,0.304,27,48,Brooklyn Nets,108,0.5,0.737,0.4,21,37
2022-03-01,22100929,2021,0,Houston Rockets,100,0.396,0.647,0.333,21,45,Los Angeles Clippers,113,0.438,0.941,0.419,24,55
2022-03-01,22100930,2021,1,Minnesota Timberwolves,129,0.528,0.826,0.4,27,42,Golden State Warriors,114,0.456,0.864,0.289,26,40
2022-03-01,22100931,2021,0,Los Angeles Lakers,104,0.451,0.8,0.412,22,37,Dallas Mavericks,109,0.5,0.63,0.286,24,45
2022-02-28,22100920,2021,0,Cleveland Cavaliers,122,0.527,0.853,0.405,29,38,Minnesota Timberwolves,127,0.547,0.789,0.429,30,31
2022-02-28,22100921,2021,1,Orlando Magic,119,0.469,0.773,0.324,29,39,Indiana Pacers,103,0.486,0.72,0.417,22,39
2022-02-28,22100726,2021,0,Brooklyn Nets,97,0.384,0.792,0.343,23,45,Toronto Raptors,133,0.515,0.591,0.474,35,47
2022-02-28,22100922,2021,1,Miami Heat,112,0.494,0.769,0.387,28,39,Chicago Bulls,99,0.488,0.667,0.241,23,38
2022-02-28,22100923,2021,1,Memphis Grizzlies,118,0.539,0.579,0.423,24,55,San Antonio Spurs,105,0.414,0.737,0.281,30,38
2022-02-28,22100924,2021,1,Milwaukee Bucks,130,0.44,0.865,0.4,25,62,Charlotte Hornets,106,0.387,0.625,0.359,22,40
2022-02-28,22100925,2021,0,Oklahoma City Thunder,110,0.465,0.704,0.314,28,38,Sacramento Kings,131,0.563,0.767,0.323,30,46
2022-02-27,22100912,2021,0,New York Knicks,109,0.447,0.629,0.333,21,47,Philadelphia 76ers,125,0.487,0.886,0.303,28,43
2022-02-27,22100913,2021,0,Phoenix Suns,114,0.512,0.813,0.464,24,36,Utah Jazz,118,0.468,0.65,0.425,23,41
2022-02-27,22100914,2021,1,Indiana Pacers,128,0.522,0.85,0.515,25,49,Boston Celtics,107,0.429,0.85,0.279,25,40
2022-02-27,22100915,2021,0,Charlotte Hornets,126,0.506,0.676,0.419,25,46,Detroit Pistons,127,0.455,0.722,0.35,30,54
2022-02-27,22100916,2021,0,Houston Rockets,98,0.38,0.611,0.405,26,37,Los Angeles Clippers,99,0.442,0.714,0.324,18,59
2022-02-27,22100917,2021,0,Golden State Warriors,101,0.429,0.6,0.282,27,44,Dallas Mavericks,107,0.5,0.8,0.382,16,45
2022-02-27,22100918,2021,0,Portland Trail Blazers,92,0.374,0.692,0.167,22,42,Denver Nuggets,124,0.512,0.774,0.324,28,55
2022-02-27,22100919,2021,0,Los Angeles Lakers,95,0.417,0.9,0.206,15,38,New Orleans Pelicans,123,0.511,0.64,0.433,29,51
2022-02-26,22100905,2021,0,Detroit Pistons,104,0.448,0.864,0.259,18,41,Boston Celtics,113,0.477,0.905,0.385,31,37
2022-02-26,22100906,2021,1,Atlanta Hawks,127,0.578,0.818,0.419,27,45,Toronto Raptors,100,0.4,0.737,0.313,25,42
2022-02-26,22100907,2021,1,Cleveland Cavaliers,92,0.386,0.833,0.32,22,49,Washington Wizards,86,0.432,0.833,0.478,19,42
2022-02-26,22100908,2021,1,Miami Heat,133,0.566,0.711,0.429,25,32,San Antonio Spurs,129,0.556,0.789,0.452,33,46
2022-02-26,22100909,2021,0,Chicago Bulls,110,0.419,0.767,0.45,17,41,Memphis Grizzlies,116,0.44,0.808,0.304,23,61
2022-02-26,22100910,2021,0,Milwaukee Bucks,123,0.526,0.658,0.421,24,43,Brooklyn Nets,126,0.478,0.758,0.382,24,40
2022-02-26,22100911,2021,1,Denver Nuggets,115,0.463,0.793,0.372,29,45,Sacramento Kings,110,0.427,0.758,0.3,24,45
2022-02-25,22100896,2021,1,Charlotte Hornets,125,0.553,0.667,0.375,34,52,Toronto Raptors,93,0.44,0.565,0.261,18,36
2022-02-25,22100897,2021,0,Indiana Pacers,125,0.485,0.591,0.378,31,51,Oklahoma City Thunder,129,0.495,0.75,0.355,23,54
2022-02-25,22100898,2021,1,Orlando Magic,119,0.506,0.759,0.361,20,54,Houston Rockets,111,0.468,0.45,0.298,22,41
2022-02-25,22100899,2021,0,Washington Wizards,153,0.546,0.792,0.421,36,39,San Antonio Spurs,157,0.543,0.791,0.31,35,50
2022-02-25,22100900,2021,0,New York Knicks,100,0.4,0.722,0.35,19,45,Miami Heat,115,0.47,0.743,0.344,22,44
2022-02-25,22100901,2021,0,Minnesota Timberwolves,102,0.419,0.84,0.231,23,41,Philadelphia 76ers,133,0.512,0.833,0.487,30,42
2022-02-25,22100902,2021,0,Phoenix Suns,102,0.439,0.75,0.3,23,37,New Orleans Pelicans,117,0.437,0.805,0.276,21,53
2022-02-25,22100903,2021,1,Utah Jazz,114,0.541,0.818,0.421,22,44,Dallas Mavericks,109,0.477,1,0.436,22,30
2022-02-25,22100904,2021,0,Los Angeles Lakers,102,0.419,0.762,0.258,18,47,Los Angeles Clippers,105,0.494,0.684,0.385,25,47
2022-02-24,22100889,2021,1,Detroit Pistons,106,0.407,0.893,0.324,23,49,Cleveland Cavaliers,103,0.442,0.676,0.343,20,43
2022-02-24,22100890,2021,0,Brooklyn Nets,106,0.415,0.75,0.241,25,38,Boston Celtics,129,0.541,0.741,0.405,28,48
2022-02-24,22100891,2021,1,Chicago Bulls,112,0.488,0.815,0.296,16,43,Atlanta Hawks,108,0.423,0.667,0.286,20,45
2022-02-24,22100892,2021,1,Minnesota Timberwolves,119,0.462,0.68,0.381,26,42,Memphis Grizzlies,114,0.388,0.725,0.29,25,59
2022-02-24,22100893,2021,0,Oklahoma City Thunder,104,0.473,0.909,0.194,22,42,Phoenix Suns,124,0.535,0.905,0.382,32,43
2022-02-24,22100894,2021,0,Portland Trail Blazers,95,0.392,0.828,0.257,16,31,Golden State Warriors,132,0.511,0.844,0.366,36,46
2022-02-24,22100895,2021,0,Sacramento Kings,110,0.5,0.833,0.31,25,34,Denver Nuggets,128,0.558,0.85,0.429,30,39
2022-02-17,22100885,2021,0,Charlotte Hornets,107,0.4,0.7,0.238,27,58,Miami Heat,111,0.402,0.652,0.292,31,56
2022-02-17,22100464,2021,0,Brooklyn Nets,103,0.404,0.708,0.368,19,42,Washington Wizards,117,0.554,0.813,0.5,26,38
2022-02-17,22100886,2021,0,New Orleans Pelicans,118,0.5,0.667,0.429,22,48,Dallas Mavericks,125,0.537,0.72,0.475,18,38
2022-02-17,22100887,2021,0,Milwaukee Bucks,120,0.442,0.786,0.318,20,44,Philadelphia 76ers,123,0.5,0.852,0.353,21,46
2022-02-17,22100888,2021,1,Los Angeles Clippers,142,0.554,0.846,0.514,34,50,Houston Rockets,111,0.462,0.737,0.351,29,35
2022-02-16,22100874,2021,0,Orlando Magic,109,0.429,0.923,0.317,23,45,Atlanta Hawks,130,0.5,0.786,0.545,23,47
2022-02-16,22100875,2021,0,Boston Celtics,111,0.545,0.778,0.406,29,30,Detroit Pistons,112,0.462,0.769,0.533,28,47
2022-02-16,22100876,2021,1,Indiana Pacers,113,0.542,0.655,0.2,30,40,Washington Wizards,108,0.429,0.813,0.459,25,44
2022-02-16,22100877,2021,0,New York Knicks,106,0.435,0.889,0.372,22,44,Brooklyn Nets,111,0.439,0.609,0.324,21,51
2022-02-16,22100878,2021,1,Chicago Bulls,125,0.5,0.95,0.414,25,47,Sacramento Kings,118,0.512,0.909,0.4,24,36
2022-02-16,22100879,2021,0,Memphis Grizzlies,119,0.435,0.81,0.367,20,39,Portland Trail Blazers,123,0.506,0.75,0.406,23,43
2022-02-16,22100880,2021,0,Minnesota Timberwolves,91,0.39,0.724,0.238,23,42,Toronto Raptors,103,0.455,0.789,0.32,21,48
2022-02-16,22100881,2021,0,Oklahoma City Thunder,106,0.39,0.684,0.344,25,50,San Antonio Spurs,114,0.439,0.818,0.294,29,57
2022-02-16,22100882,2021,1,Phoenix Suns,124,0.512,0.806,0.292,27,42,Houston Rockets,121,0.433,0.857,0.295,23,49
2022-02-16,22100883,2021,0,Golden State Warriors,116,0.517,0.667,0.294,26,37,Denver Nuggets,117,0.473,0.81,0.389,27,48
2022-02-16,22100884,2021,1,Los Angeles Lakers,106,0.477,0.636,0.278,24,44,Utah Jazz,101,0.468,0.842,0.333,17,41
2022-02-15,22100867,2021,1,Atlanta Hawks,124,0.538,0.889,0.424,25,35,Cleveland Cavaliers,116,0.511,0.833,0.39,30,39
2022-02-15,22100868,2021,0,Miami Heat,99,0.417,0.815,0.259,19,48,Dallas Mavericks,107,0.447,0.636,0.439,27,38
2022-02-15,22100869,2021,0,Philadelphia 76ers,87,0.288,0.846,0.25,17,40,Boston Celtics,135,0.561,0.818,0.556,28,51
2022-02-15,22100870,2021,1,Milwaukee Bucks,128,0.558,0.733,0.345,28,47,Indiana Pacers,119,0.505,0.421,0.415,32,41
